timeStamp	dateFrac	cntDev	predDev
2016-05-29 13:00:00	736113.541667	14717	9133
2016-05-29 14:00:00	736113.583333	24756	12085
2016-05-29 15:00:00	736113.625	31908	14717
2016-05-29 16:00:00	736113.666667	34276	16202
2016-05-29 17:00:00	736113.708333	33002	15403
2016-05-29 18:00:00	736113.75	34633	14114
2016-05-29 19:00:00	736113.791667	29438	11711
2016-05-29 20:00:00	736113.833333	23840	15662
2016-05-29 21:00:00	736113.875	6258	6408
2016-05-29 22:00:00	736113.916667	3584	4896
2016-05-29 23:00:00	736113.958333	1054	3517
2016-05-30 00:00:00	736114.0	1593	6562
2016-05-30 01:00:00	736114.041667	2163	7101
2016-05-30 02:00:00	736114.083333	3111	8044
2016-05-30 03:00:00	736114.125	8752	12174
2016-05-30 04:00:00	736114.166667	15099	17262
2016-05-30 05:00:00	736114.208333	21375	19676
2016-05-30 06:00:00	736114.25	24745	19748
2016-05-30 07:00:00	736114.291667	37750	24343
2016-05-30 08:00:00	736114.333333	48083	24262
2016-05-30 09:00:00	736114.375	53312	27475
2016-05-30 10:00:00	736114.416667	49945	26656
2016-05-30 11:00:00	736114.458333	41876	27450
2016-05-30 12:00:00	736114.5	31819	31915
2016-05-30 13:00:00	736114.541667	32937	34835
2016-05-30 14:00:00	736114.583333	30478	35651
2016-05-30 15:00:00	736114.625	45485	34575
2016-05-30 16:00:00	736114.666667	41260	32780
2016-05-30 17:00:00	736114.708333	44765	30469
2016-05-30 18:00:00	736114.75	33434	27243
2016-05-30 19:00:00	736114.791667	30356	22080
2016-05-30 20:00:00	736114.833333	20209	14336
2016-05-30 21:00:00	736114.875	11954	9941
2016-05-30 22:00:00	736114.916667	3817	8849
2016-05-30 23:00:00	736114.958333	1423	8956
2016-05-31 00:00:00	736115.0	1176	6296
2016-05-31 01:00:00	736115.041667	2509	6131
2016-05-31 02:00:00	736115.083333	3627	5797
2016-05-31 03:00:00	736115.125	9709	9448
2016-05-31 04:00:00	736115.166667	16034	14799
2016-05-31 05:00:00	736115.208333	22104	17465
2016-05-31 06:00:00	736115.25	23672	20275
2016-05-31 07:00:00	736115.291667	39597	27022
2016-05-31 08:00:00	736115.333333	38495	33895
2016-05-31 09:00:00	736115.375	53628	39584
2016-05-31 10:00:00	736115.416667	63203	42506
2016-05-31 11:00:00	736115.458333	74989	45398
2016-05-31 12:00:00	736115.5	72538	50412
2016-05-31 13:00:00	736115.541667	61964	53043
2016-05-31 14:00:00	736115.583333	53910	55883
2016-05-31 15:00:00	736115.625	63616	58741
2016-05-31 16:00:00	736115.666667	70782	60174
2016-05-31 17:00:00	736115.708333	72111	57124
2016-05-31 18:00:00	736115.75	58405	45484
2016-05-31 19:00:00	736115.791667	41610	32463
2016-05-31 20:00:00	736115.833333	28562	17900
2016-05-31 21:00:00	736115.875	17796	11134
2016-05-31 22:00:00	736115.916667	13017	8286
2016-05-31 23:00:00	736115.958333	6912	6945
2016-06-01 00:00:00	736116.0	3050	6737
2016-06-01 01:00:00	736116.041667	1499	6521
2016-06-01 02:00:00	736116.083333	1603	6135
2016-06-01 03:00:00	736116.125	1888	9326
2016-06-01 04:00:00	736116.166667	3395	13901
