timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek	predHS	cntMA	predMA	devMA	predDev	alertVal	diffMA
2016-05-15 23:00:00	736099.958333	0	1	14132	196138	-90863	-134155	3959	14957	24005	27788	6083	2044	0	0
2016-05-16 00:00:00	736100.0	1	0	11363	196159	-55795	55213	1916	11363	16764	17794	1705	-14691	0	0
2016-05-16 01:00:00	736100.041667	1	0	6114	196181	-46186	49340	-3377	6114	10536	10811	583	-14152	0	0
2016-05-16 02:00:00	736100.083333	1	0	4936	196202	-21295	48865	-4268	4935	7471	7470	0	-13209	0	0
2016-05-16 03:00:00	736100.125	1	0	18648	196224	17183	55078	4198	18648	9899	9899	0	-9079	0	0
2016-05-16 04:00:00	736100.166667	1	0	35964	196246	66627	69299	19989	35964	19849	19849	0	-3991	0	0
2016-05-16 05:00:00	736100.208333	1	0	56462	196267	123669	101317	56270	56462	37024	37024	0	-1577	0	0
2016-05-16 06:00:00	736100.25	1	0	100668	196289	184424	231058	214471	100668	64364	64364	0	-1505	0	0
2016-05-16 07:00:00	736100.291667	1	0	143771	196310	244753	367253	393306	143770	100300	100300	0	3089	0	0
2016-05-16 08:00:00	736100.333333	1	0	161778	196332	300545	447795	510671	161778	135405	135405	0	3008	0	0
2016-05-16 09:00:00	736100.375	1	0	137957	196354	348000	496209	576340	137957	147835	147835	0	6221	0	0
2016-05-16 10:00:00	736100.416667	1	0	127128	196375	383886	452242	512290	127128	142287	142287	0	5402	0	0
2016-05-16 11:00:00	736100.458333	1	0	131828	196397	405758	442641	494757	131828	132304	132304	0	6196	0	0
2016-05-16 12:00:00	736100.5	1	0	120885	196418	412128	445010	499471	120885	126613	126613	0	10661	0	0
2016-05-16 13:00:00	736100.541667	1	0	118058	196440	402563	431921	489596	118058	123590	123590	0	13581	0	0
2016-05-16 14:00:00	736100.583333	1	0	129952	196462	377716	445929	499084	129952	122965	122965	0	14397	0	0
2016-05-16 15:00:00	736100.625	1	0	131358	196483	339282	439284	495303	131358	126456	126456	0	13321	0	0
2016-05-16 16:00:00	736100.666667	1	0	140628	196505	289882	391370	419716	140628	133979	133979	0	11526	0	0
2016-05-16 17:00:00	736100.708333	1	0	121770	196526	232884	328456	346371	121770	131252	131252	0	9215	0	0
2016-05-16 18:00:00	736100.75	1	0	107686	196548	172173	178148	161058	107686	123361	123361	0	5989	0	0
2016-05-16 19:00:00	736100.791667	1	0	81354	196569	111889	145458	109739	81354	103603	103603	0	826	0	0
2016-05-16 20:00:00	736100.833333	1	0	55544	196591	56141	110231	64352	55544	81528	81528	0	-6917	0	0
2016-05-16 21:00:00	736100.875	1	0	39536	196613	8730	91544	42356	39536	58811	58811	0	-11312	0	0
2016-05-16 22:00:00	736100.916667	1	0	21523	196634	-27111	74678	20647	21523	38867	38867	0	-12404	0	0
2016-05-16 23:00:00	736100.958333	1	0	11442	196656	-48939	62360	7869	11442	24167	24167	0	-12297	0	0
2016-05-17 00:00:00	736101.0	0	0	9973	196677	-327	30086	3638	1905	14312	11623	5704	4823	0	0
2016-05-17 01:00:00	736101.041667	0	0	5283	196699	9281	24212	-3578	0	8899	4449	6819	4658	0	0
2016-05-17 02:00:00	736101.083333	0	0	5571	196721	34172	23738	-4420	0	6942	635	7875	4324	0	0
2016-05-17 03:00:00	736101.125	0	0	16880	196742	72650	29951	2644	886	9244	295	12545	7975	0	0
2016-05-17 04:00:00	736101.166667	0	0	38859	196764	122095	44171	18932	17574	20436	6153	19234	13326	0	0
2016-05-17 05:00:00	736101.208333	0	0	76541	196785	179137	76190	55155	54686	44093	24382	24356	15991	0	0
2016-05-17 06:00:00	736101.25	0	0	266271	196807	239892	205930	206730	209981	127223	94080	45272	18801	0	0
2016-05-17 07:00:00	736101.291667	0	0	416491	196829	300220	342125	360981	368018	253101	210895	54753	25549	0	0
2016-05-17 08:00:00	736101.333333	0	0	478117	196850	356013	422668	448951	458148	386959	345382	54391	32422	0	0
2016-05-17 09:00:00	736101.375	0	0	568406	196872	403468	471081	512815	523579	487671	449915	48774	38111	0	0
2016-05-17 10:00:00	736101.416667	0	0	529250	196893	439354	427114	467274	476920	525257	486215	50727	41033	0	0
2016-05-17 11:00:00	736101.458333	0	0	502834	196915	461226	417514	448354	457536	533496	486011	58308	43925	0	0
2016-05-17 12:00:00	736101.5	0	0	500900	196937	467596	419883	442965	452015	510994	462157	59916	48939	0	0
2016-05-17 13:00:00	736101.541667	0	0	472565	196958	458031	406793	423696	432273	492099	447274	55068	51570	0	0
2016-05-17 14:00:00	736101.583333	0	0	507839	196980	433184	420802	444050	453126	493768	445804	59189	54410	0	0
2016-05-17 15:00:00	736101.625	0	0	496299	197001	394750	414157	435874	444750	492234	443383	60308	57268	0	0
2016-05-17 16:00:00	736101.666667	0	0	419635	197023	345350	366242	384263	391872	474591	429916	56663	58701	0	0
2016-05-17 17:00:00	736101.708333	0	0	361427	197044	288351	303329	313078	318940	425787	385187	51152	55651	0	0
2016-05-17 18:00:00	736101.75	0	0	147837	197066	227641	153021	127562	128870	309633	279894	38312	44010	0	0
2016-05-17 19:00:00	736101.791667	0	0	103633	197088	167356	120330	102000	102681	204299	183497	32907	30990	0	0
2016-05-17 20:00:00	736101.833333	0	0	66872	197109	111608	85103	60639	60305	106114	97285	14208	16427	0	0
2016-05-17 21:00:00	736101.875	0	0	43079	197131	64197	66416	38425	37546	71194	66844	6109	9661	0	0
2016-05-17 22:00:00	736101.916667	0	0	23096	197152	28356	49550	18113	16735	44349	38195	7556	6813	0	0
2016-05-17 23:00:00	736101.958333	0	0	12163	197174	6527	37232	6033	4359	26112	19546	8123	5472	0	0
2016-05-18 00:00:00	736102.0	0	0	9710	197196	27314	43889	3913	2187	14989	7760	8887	5264	0	0
2016-05-18 01:00:00	736102.041667	0	0	5606	197217	36924	38016	-1364	0	9159	2182	8629	5047	0	0
2016-05-18 02:00:00	736102.083333	0	0	5533	197239	61815	37541	-1473	0	6949	729	7701	4661	0	0
2016-05-18 03:00:00	736102.125	0	0	18182	197260	100293	43754	5084	3386	9773	1128	11852	7853	0	0
2016-05-18 04:00:00	736102.166667	0	0	35556	197282	149737	57975	19998	18666	19757	7350	16352	12428	0	0
2016-05-18 05:00:00	736102.208333	0	0	80281	197304	206780	89993	58975	58600	44673	26884	22071	15726	0	0
2016-05-18 06:00:00	736102.25	0	0	231032	197325	267535	219734	215715	219187	115623	98817	21161	16026	0	0
2016-05-18 07:00:00	736102.291667	0	0	380605	197347	327863	355929	369255	376495	230639	218094	17709	15040	0	0
2016-05-18 08:00:00	736102.333333	0	0	442976	197368	383655	436471	465490	475092	351537	356924	24378	18547	0	0
2016-05-18 09:00:00	736102.375	0	0	536224	197390	431110	484885	522931	533943	453268	461843	22951	25212	0	0
2016-05-18 10:00:00	736102.416667	0	0	467657	197412	466996	440918	468107	477774	482285	495603	23864	27403	0	0
2016-05-18 11:00:00	736102.458333	0	0	474300	197433	488869	431317	478909	488841	492727	500186	12629	26417	0	0
2016-05-18 12:00:00	736102.5	0	0	450419	197455	495238	433686	476872	486754	464125	484456	28583	31019	0	0
2016-05-18 13:00:00	736102.541667	0	0	443832	197476	485673	420597	460853	470342	456183	481979	33424	39549	0	0
2016-05-18 14:00:00	736102.583333	0	0	479555	197498	460826	434605	486710	496833	457935	484643	34070	43522	0	0
2016-05-18 15:00:00	736102.625	0	0	465798	197519	422392	427960	479806	489760	463061	485645	28066	44341	0	0
2016-05-18 16:00:00	736102.666667	0	0	402798	197541	372992	380046	429098	437807	449383	474800	32390	42245	0	0
